kata,kelas,kata_dasar,nilai
"bismam","Nomina","",2
"bismillah","Partikel","",9
"bismut","Nomina; Kim","",5
"bisnis","Nomina","",10
"bison","Nomina","",6
"bissau","Nomina","",4
"bissu","Nomina","",5
"bistabil","Adjektiva","",4
"bistik","Nomina","",7
"bistro","Nomina","",6
"bistronomi","Nomina","",4
"bisturi","Nomina","",4
"bisu","Adjektiva","",8
"bisuh","Verba","",2
"bisul","Nomina; ki","",7
"bisulfat","Nomina; Kim","",5
"bisyarah","Nomina; Isl; Ar","",4
"bita","Nomina","",5
"bitaa","Adjektiva; Gor","",1
"bitabitan","Nomina; Eln","",2
"bitah","Nomina; Ko","",1
"bitak","Nomina; Bun","",1
"bitak","Nomina; Trj","",1
"bitakir","Adjektiva; Eln","",1
"bitang","Nomina; Tsg","",1
"bitara","Adjektiva; Mal","",3
"bitdeng","Nomina; Mdr","",1
"bite","Nomina; Krc","",1
"bitemporal","Nomina; Dok","",3
"biter","Nomina; Ldy","",1
"biterbalen","Nomina; Tbg","",1
"biti","Nomina; kl","",3
"biti","Nomina; Bun","",1
"bitian","Nomina; Lp","",1
"bitik","Nomina; Dy","",1
"biting","Nomina; Jw","",4
"bitisik","Nomina","",2
"bitki","Nomina; Ngl","",1
"bitkoin","Nomina","",8
"bitkur","Nomina; Ngl","",1
"bitmap","Nomina; Komp","",6
"bito","Nomina; Gor","",1
"bito","Nomina; Gor","",1
"bitot","Adjektiva","",3
"bitu","Nomina; Buo","",1
"bitumen","Nomina","",6
"bituminus","Adjektiva; Geo","",4
"bitung","Nomina","",5
"bitung","Nomina","",3
"bituomate","Nomina; Bgi","",1
"bituosun","Nomina; Bgi","",1
"bituotakait","Nomina; Bgi","",1
"bituotuk","Nomina; Bgi","",1
"biu","Nomina; Gor","",1
"biu","Nomina; Tr","",1
"biudagal","Adjektiva; Bt","",1
"biuk","Nomina; Rt","",1
"biuk","Adjektiva; Sd","",2
"biuku","Nomina","",4
"biuku","Nomina; Ri","",2
"biukukung","Nomina; Bl","",1
"biumbai","Nomina","",2
"biuret","Nomina; Tn","",2
"bius","Nomina; ki","",5
"bius","Nomina","",8
"biut","Adjektiva; ark","",2
"bivak","Nomina","",6
"bivalen","Adjektiva; Kim; Bio; Nomina","",4
"bivalensi","Nomina; Kim","",3
"bivalvia","Nomina","",4
"bivariat","Nomina","",4
"biver","Nomina; Ing","",3
"biverbal","Adjektiva; Ling","",3
"bivoltin","Adjektiva; Bio","",3
"biwa","Nomina","",4
"biwara","Nomina","",4
"biyada","Nomina; Jw","",2
"biyagon","Nomina; Teng","",1
"biyak","Nomina; Dy","",1
"biyakung","Nomina; Dy","",1
"biyayakan","Adjektiva; Jw","",2
"biyekwok","Nomina","",2
"biyodu","Nomina","",2
"biyoyang","Nomina; Bn","",1
"biyung","Nomina; Jw","",5
"bizantium","Nomina","",5
"bizurai","Nomina; kl","",3
"bkph","Nomina; sing","",4
"blabag","Nomina; Jw","",3
"blabar","Nomina","",4
"blabitisme","Nomina","",3
"blabur","Adjektiva; Jw","",2
"blacan","","",4
"blacan","","",4
"blacu","","",6
"blacu","","",6
"blagador","Nomina; Us","",1
"blagandang","Verba; Bl","",1
"blagar","Nomina","",2
"blak-blakan","Adjektiva; Jw","",7
"blakasuta","Nomina; Jw","",3
"blalo","Nomina; Mdr","",1
"blambangan","Nomina","",5
"blanda","Nomina; Jb","",2
"blandong","Nomina; Jw","",4
"blandongan","Nomina","",3
"blanet","Nomina; Astron","",3
"blangarep","Nomina; Jw","",2
"blanggreng","Nomina; Jw","",2
"blanggreng","Nomina; Jw","",2
"blangkeman","Adverbia; Jw; cak","",3
"blangko","Adjektiva; Nomina","",7
"blangkon","","",6
"blangkon","","",6
"blangsi","Nomina; Jw","",2
"blanguh","Nomina; Bl","",1
"blangwir","Nomina; cak","",4
"blanko","","",7
"blanko","","",7
"blantek","Nomina","",3
"blantik","Nomina; Jw","",4
"blantik","Nomina; kl","",2
"blantika","Nomina; Mus","",7
"blaong","Nomina; Lmh","",1
"blarongan","Adjektiva; Jw","",2
"blastema","Nomina; Bio","",4
"blaster","Nomina; cak","",5
"blastin","Nomina; Jw","",2
"blastoderm","Nomina; Bio","",4
"blastokinesis","Nomina; Bio","",3
"blastokis","Nomina; Bio","",4
"blastokista","Nomina","",4
"blastoma","Nomina; Bio","",4
"blastomer","Nomina; Bio","",4
"blastomikosis","Nomina; Dok","",4
"blastoporfiritik","Adjektiva; Geo","",2
"blastopori","Nomina; Bio","",4
"blastosista","Nomina","",4
"blastosit","Nomina","",4
"blastosol","Nomina; Bio","",3
"blastospora","Nomina; Bio","",3
"blastostil","Nomina; Zool","",3
"blastula","Nomina","",5
"blastulasi","Nomina","",4
"blatong","Nomina; Jw","",2
"blatovir","Nomina; Eln","",1
"blauk","Nomina; Bl","",1
"blawanan","Adjektiva; Jw","",2
"blawong","Nomina; Jw","",3
"blawur","Nomina; Jw","",2
"blayag","Nomina","",2
"blazar","Nomina; Astron","",4
"blazer","Nomina","",7
"blebayon","Nomina; Jb","",2
"bleber","Verba","",5
"blebes","Nomina; Jw","",2
"blebis","Nomina; MBa","",1
"bledek","Nomina; Jw","",5
"bledik","Verba; Jw","",2
"bledug","Nomina; Jw","",3
"bleduk","Nomina; Jw","",3
"blefaritis","Nomina","",5
"blefaroplas","Nomina; Bio","",3
"blefaroplasti","Nomina","",4
"blefarospasme","Nomina; Dok","",4
"bleganjur","Nomina; Bl","",4
"blegodah","Nomina; Bl","",1
"blekek","Nomina","",3
"bleketepe","Nomina; Jw","",3
"blekok","Nomina","",4
"blekutak","Nomina; Jw","",4
"blencong","Nomina; Jw","",4
"blencong","Nomina; Us","",1
"blenda","Nomina; Kim","",3
"blender","Nomina","",8
"blendok","Nomina; Jw","",2
"blendong","Nomina; Jw","",2
"blendrang","Nomina","",4
"blendrong","Nomina; Jw","",2
"blendung","Nomina; Jw","",3
"blengker","Nomina; Mus","",2
"blengong","Nomina","",4
"blengur","Nomina; Jw","",2
"blenofobia","Nomina; Psi","",3
"blenyik","Nomina; Jw","",3
"bleomisin","Nomina","",4
"blepot","","",6
"blepot","","",6
"blereng","Nomina; Jw","",3
"blero","Nomina; Mus","",3
"bletak","Nomina","",3
"blewah","Nomina","",7
"blibar","Nomina; Jw","",2
"blibet","Verba; cak","",5
"bliding","Nomina; Tek","",3
"blini","Nomina","",4
"blirik","Nomina; Jw","",3
"blistering","Nomina","",4
"blisu","Nomina; Sbw","",1
"blitar","Nomina","",5
"blizar","Nomina","",2
"bloboh","Adjektiva; Jw","",2
"blocok","Nomina; Jw","",2
"bloger","Nomina; cak","",6
"blokade","Nomina","",7
"blokblokting","Nomina; Jw","",2
"blokeran","Verba; Jw","",2
"bloking","Nomina; Ing","",6
"blokir","Verba","",8
"blokir","Nomina; Olr; cak","",6
"bloknot","Nomina","",5
"blombongan","Nomina; cak","",3
"blonceng","Nomina","",4
"blondo","Nomina; Jw","",3
"blondos","Nomina; Jw","",2
"blongkak","Nomina; Bl","",1
"blonyoh","Nomina; Bl","",1
"blonyoh","Nomina; Jw","",3
"bloon","","",7
"bloon","","",7
"blora","Nomina","",5
"blore","Nomina; Ri","",2
"bloring","Verba; Ri","",1
"blorok","Nomina; Jw","",4
"blorong","Nomina; Jw","",4
"bloter","Nomina; Ek","",2
"bloting","Nomina; Kim","",4
"blotong","Nomina","",4
"blower","Nomina","",6
"bluang","Nomina; Bl","",1
"bluberi","Nomina","",7
"blubuh","Adjektiva; Bl","",1
"bluburan","Nomina; Jw","",2
"bluder","Nomina","",5
"bludrek","Nomina; cak","",5
"bludusan","Verba; Jw","",2
"blukang","Nomina; Jw","",2
"blumbangan","Nomina; Jw","",3
"blumkol","Nomina","",4
"blunder","Nomina","",7
"blungko","Nomina; Jw","",2
"bluper","Nomina; Film","",5
"bluray","Nomina","",6
"blustru","Nomina","",5
"blusuk","Verba; Jw","",8
"bluwok","Nomina","",3
"bmd","Nomina; sing","",3
"boag","Nomina; Lj","",1
"boalemo","Nomina","",5
"boan","Nomina; Sbw","",1
"boano","Nomina","",4
"boar","Nomina; Bc","",1
"boba","Nomina","",8
"boba","Nomina; Kal","",1
"boba","Nomina; Eln","",1
"boba-boba","Nomina; Bt","",1
"bobaata","Nomina","",2
"bobag","Nomina; Tot","",1
"bobai","Verba; Ri","",1
"bobak","Nomina; Bt","",1
"bobak","Nomina; Mt","",1
"bobak","Verba; Eln","",1
"bobaka","Nomina; Pm","",1
"bobaku","Nomina","",3
"bobale","Nomina; Aln","",1
"bobantat","Nomina; Dy","",1
"bobar","Nomina","",3
"bobara","Nomina","",5
"bobas","Nomina; Bgi","",1
"bobaso","Nomina; Tb","",1
"bobat","Nomina","",4
"bobat","Verba; Ri","",1
"bobat","Nomina; Jw","",2
"bobato","Nomina","",4
"bobaya","Nomina; Kal","",1
"bobayana","Nomina; Kal","",1
"bobengka","Nomina; Tns","",3
"bobet","Nomina; Mnd","",2
"bobik","Nomina; Bun","",1
"bobili","Nomina","",2
"bobin","Nomina","",4
"bobingkato","Nomina; BlM","",1
"boblo","Nomina; Mt","",1
"bobo","Nomina; Kal","",1
"bobo","Nomina; Gor","",1
"bobo","Nomina; Lj","",1
"bobo","Nomina; Mu","",1
"bobo","Nomina; Me","",1
"boboan","Nomina; Us","",1
"bobok","Verba; cak","",6
"bobok","","",4
"bobok","Nomina; Jw","",3
"bobok","Adjektiva; Bt","",1
"bobok","Nomina; Bt","",1
"bobok","Nomina; Ri","",1
"boboki","Nomina; Rt","",1
"boboko","Nomina; Sd","",4
"boboko","Nomina; Tb","",1
"bobokor","Nomina; Sd","",3
"bobol","Adjektiva; Verba","",7
"bobol","Verba; Khm","",1
"boboleh","Verba; Sd","",2
"boboloki","Nomina; Bgi","",1
"bobolonong","Nomina","",2
"bobong","Nomina; Ca","",1
"bobongko","Nomina","",4
"bobontos","Nomina; Sd","",2
"bobop-bobop","Nomina; Bt","",1
"bobor","Nomina; Jw","",5
"bobor","Adjektiva; Bt","",1
"bobor","Nomina; Us","",1
"boboru","Adjektiva; Bt","",1
"bobos","Adjektiva","",5
"bobosut","Nomina; Tsg","",1
"bobot","Nomina; ki; Graf","",7
"bobot","Nomina; Rjg","",1
"bobot","Nomina; Rjg","",1
"bobotara","Nomina","",2
"boboti","Nomina","",2
"boboto","Nomina","",3
"bobotoh","Nomina; Sd; Verba","",6
"bobotok","Nomina; Mk; Sd","",3
"bobowel","Nomina; Sh","",1
"boboyongan","Nomina","",2
"bobrok","Adjektiva","",7
"bobsled","Nomina; Olr","",4
"bobukat","Verba; Dy","",1
"bocah","Nomina","",8
"boccia","Nomina; It; Olr","",4
"boci","Nomina; akr","",4
"bociha","Nomina; Dy","",1
"bocika","Nomina; Kls","",1
"bocil","Nomina; cak","",8
"bocimi","Nomina; akr","",4
"bocok","Nomina; Sd","",2
"bocok","Nomina; ark","",1
"bocok","Nomina; Jw","",2
"bocok","Nomina; Mks","",1
"bocokok","Nomina; Sd","",2
"bocong","Nomina; Jk","",3
"bocong","Nomina; Md","",1
"bocor","Verba; cak","",8
"boda","Nomina; Mks","",1
"boda","Nomina; Kal","",1
"boda","Nomina; Sb","",1
"boda","Nomina; Bt","",1
"boda","Adjektiva; Ri","",1
"bodag","Nomina; Jw","",3
"bodah","Adjektiva; Ko","",1
"bodal","Nomina; Ri","",1
"bodar","Verba; Ri","",1
"bodebek","Nomina","",5
"bodem","Nomina; Jw","",3
"bodetabek","Nomina; akr","",6
"bodewo","Nomina; Ri","",1
"bodhi","Nomina","",4
"bodhisatwa","Nomina; Bud","",5
"bodi","Nomina; cak","",6
"bodi","Nomina; Bt","",1
"bodin","Nomina; Sd","",2
"bodkin","Nomina; Tbs","",2
"bodo","","",4
"bodo","Nomina; Bm","",1
"bododon","Nomina; Sd","",2
"bodogok","Nomina; Ri","",1
"bodoh","Adjektiva; cak","",8
"bodok","Nomina","",3
"bodol","Nomina; Jk","",3
"bodolan","Nomina; Us","",1
"bodong","Adjektiva; Jw","",4
"bodong","Nomina; ark","",1
"bodong","Adjektiva; cak","",6
"bodong","Adjektiva; Jw","",3
"bodor","Adjektiva; Sd","",3
"boeara","Nomina; Me","",1
"boer","Nomina","",3
"boet","Verba; Mg","",1
"bofot","Nomina; Sr","",1
"boga","Nomina","",6
"boga","Nomina","",4
"boga-boga","Verba; MAb","",1
"bogadong","Nomina; Ri","",1
"bogam","Nomina","",3
"bogang","Adjektiva; Jw","",3
"bogani","Nomina","",4
"bogas","Nomina; Bt","",1
"bogat","Nomina; Tot","",1
"bogat","Adjektiva; Sbw","",1
"bogehage","Nomina","",2
"bogei","Nomina; Olr","",4
"bogel","Adjektiva","",5
"bogel","Adjektiva; Jk","",4
"bogem","Nomina; Sd","",2
"bogem","Nomina; Jk","",3
"bogem","Nomina; Jw","",3
"bogeman","Nomina; cak","",5
"bogi","Nomina","",4
"bogi","Nomina; Sb","",1
"bogie","Nomina; Oto","",4
"bogo","Nomina","",4
"bogoh","Nomina; Ri","",1
"bogok","Adjektiva; Ri","",1
"bogol","Adjektiva; Bt","",1
"bogol","Nomina; ark","",1
"bogol","Nomina; MAb","",1
"bogom","Adjektiva; Ri","",1
"bogor","Nomina","",7
"bogor","Nomina","",3
"bogor","Nomina; Jw","",2
"bogot","Adjektiva","",4
"bogota","Nomina","",5
"bogu","Nomina","",2
"boha","Nomina; Wl","",1
"bohai","Adjektiva; cak","",6
"bohak","Nomina; Sd","",2
"bohana","Nomina; Sr","",1
"bohemian","Nomina","",5
"bohengo","Nomina; Gor","",1
"bohi-bohi","Nomina; Bt","",1
"bohir","Nomina; Bld; cak; Pol","",5
"bohlam","Nomina; cak","",7
"boho","Nomina","",2
"bohoh","Adjektiva; Kpr","",1
"bohok","","",3
"bohok","","",3
"bohong","Adjektiva","",9
"bohorok","Nomina; Geo","",5
"bohrium","Nomina; Kim","",3
"bohsia","Nomina; Mal","",3
"bohu","Nomina; Gor","",1
"boi","Nomina; Gor","",1
"boi-boinan","Nomina; Jw","",2
"boikot","Verba","",8
"boiku","Nomina","",2
"boinah","Nomina; Ach","",1
"boing","Nomina","",5
"boinggogoi","Adjektiva; BlM","",1
"boirendigo","Nomina; Buo","",1
"bois","Adjektiva; cak","",6
"boitan","Nomina","",2
"boja","Nomina","",4
"bojang","Nomina; Bla","",1
"boji","Nomina; Mt","",1
"bojo","Nomina; Jw","",6
"bojog","Nomina; Jw","",2
"bojok","Nomina; Jw","",2
"bojonegoro","Nomina","",6
"bojongmenje","Nomina","",4
"bojuk","Nomina; Sky","",1
"boka","Nomina; Mu","",1
"bokaelo","Nomina; Tlk","",1
"bokah","Nomina; Klm","",1
"bokah","Nomina; Ss","",1
"bokai","Nomina; Rt","",1
"bokaidei","Nomina; Eln","",1
"bokal","Nomina; Ri","",1
"bokan","Nomina; Eln","",1
"bokango","Nomina; Bnd","",1
"bokap","Nomina; cak","",6
"bokar","Nomina; ark","",1
"bokario","Nomina; Dy","",1
"bokas","Verba; Md","",1
"bokasi","Nomina","",5
"bokbot","Nomina; Lp","",1
"bokca","Nomina; kl","",2
"boke","Nomina; Sh","",1
"boke","Nomina; Lj","",1
"bokeh","Nomina; Jp; Ft","",6
"bokek","Adjektiva; cak","",6
"bokeo","Nomina; Tlk","",1
"bokep","Nomina; cak","",7
"boker","Verba; cak","",6
"bokhoh","Nomina; Lp","",1
"boki","Nomina; Gor; Ht; BlM","",2
"bokidu","Verba; Buo","",1
"bokin","Nomina; cak","",6
"bokis","Adjektiva; cak","",5
"bokkokaroko","Nomina; Tot","",1
"boklo","Nomina; Mt","",1
"boko","Verba","",4
"boko","Nomina; Mr","",1
"boko","Nomina; Ri","",1
"boko","Nomina; Bm","",1
"boko-boko","Nomina; Bg","",1
"boko-boko","Nomina; Gal","",1
"bokoh","Adjektiva; ark","",2
"bokoh","Nomina; Ri","",1
"bokoi","Nomina","",3
"bokol","Nomina; Mdr","",1
"bokol","Nomina","",2
"bokong","Nomina; Jk","",5
"bokong","Adjektiva; Mk","",3
"bokop","Adjektiva; ark","",1
"bokor","Nomina; Sd","",4
"bokor","Nomina; Bot","",3
"bokori","Nomina; Bla","",1
"bokot","","",3
"bokot","","",3
"boksen","Nomina; cak","",5
"bokser","Nomina","",4
"bokser","Nomina","",4
"bokset","Nomina; Sen","",4
"boksu","Nomina","",3
"boktor","Nomina","",3
"boku","Nomina","",3
"bokuet","Nomina; Bt","",1
"bokuh","Adjektiva; Ri","",1
"bokung","Adjektiva; Mr","",1
"bokungo","Nomina","",2
"bokurai","Nomina; Ri","",1
"bokurai","Nomina; Ri","",1
"bokutai","Verba; Ri","",1
"bola","Nomina","",9
"bola","Nomina; Wl","",1
"bolabag","Adjektiva; Tsg","",1
"bolabak","Verba; Ri","",1
"bolabak","Nomina; Ram","",1
"bolak","Adjektiva; kl","",3
"bolak","Nomina; Mt","",1
"bolak-balik","Verba; Adjektiva","",8
"bolamania","Nomina","",5
"bolanafo","Nomina; Ni","",1
"bolang","Nomina; cak; akr","",6
"bolang","Nomina; Ss","",1
"bolang","Nomina; Bt","",1
"bolang","Nomina; Bt","",1
"bolang","Nomina","",3
"bolanjar","Nomina; Ri","",1
"bolanofa","Nomina; Ni","",1
"bolar","Nomina","",3
"bolas","Nomina","",3
"bolat","Nomina; Bt","",1
"bolatik","Nomina; akr","",2
"bolbak","Adjektiva; Mnd; kas","",2
"bolder","Nomina; Tn","",3
"bole","Nomina; Sbw","",1
"boleh","Adverbia; kl; Verba; cak","",9
"bolek","Nomina; Ri","",1
"bolelebo","Nomina","",4
"bolen","Nomina","",5
"boleng","Adjektiva; Jw","",3
"boleng","Nomina; Jw","",3
"bolero","Nomina","",5
"bolero","Nomina","",5
"boleta","Nomina; Tr","",1
"boletut","Nomina; Mnd","",1
"bolibito","Nomina; Bgi","",1
"bolibuloo","Adjektiva; Gor","",1
"bolide","Nomina; Astron","",3
"bolihae","Nomina","",2
"boliliyo","Nomina; Gor","",1
"boling","Nomina; Olr","",6
"boling","Nomina; Ko","",1
"bolingoni","Nomina; Pm","",1
"bolivar","Nomina","",4
"bolivia","Nomina","",6
"boliviano","Nomina","",4
"boljug","Adverbia; cak; akr","",6
"bolkonom","Nomina; Tht","",1
"bollywood","Nomina","",6
"bolo","Nomina; Jw","",3
"boloboloa","Nomina; Tlk","",1
"bolok","Nomina","",4
"bolok","Adjektiva; Kpr","",1
"bolok","Nomina; Lp","",1
"bolokok","Nomina; Bla","",1
"bololoi","Nomina; Ram","",1
"bololoko","Nomina; Bnd","",1
"bolomea","Verba; Adjektiva; Kls","",1
"bolometer","Nomina","",4
"bolon","Nomina","",3
"bolong","Adjektiva; cak","",6
"bolong","Nomina; Sd","",2
"bolongor","Adjektiva; Sd","",2
"bolonta","Nomina; Kls","",1
"bolonyes","","",4
"bolonyes","","",4
"bolor","Nomina; Jw","",3
"boloran","Adjektiva; Jw","",2
"bolos","","",4
"bolos","Verba","",7
"bolosan","Verba; Gy","",1
"bolosok","Nomina; Mks","",1
"bolot","Verba; ark","",2
"bolot","Nomina; cak; Adjektiva; kas","",5
"bolotu","Nomina; Sng","",1
"bolowa","Nomina; Gor","",1
"bolowo","Nomina; Sh","",1
"bolpen","","",6
"bolpen","","",6
"bolpoin","Nomina","",7
"bolrio","Nomina; Tot","",1
"bolrit","Nomina; Tot","",1
"bolsak","","",4
"bolsak","","",4
"bolsyewik","Nomina","",4
"bolsyewismê","Nomina","",4
"bolta","Nomina; Hut","",1
"boltam","Nomina","",3
"bolu","Nomina","",7
"bolu","Nomina","",4
"bolug","Nomina","",2
"boluki","Nomina; Bgi","",1
"bolumbung","Nomina; Dy","",1
"bolus","Nomina","",4
"boma","Nomina; Bl","",2
"bomantara","","",3
"bomantara","","",3
"bomat","Adjektiva; cak; akr","",6
"bomba","Nomina; Me","",2
"bomba","Nomina; kl","",3
"bombai","","",5
"bombam","Verba; Ri","",1
"bombana","Nomina","",5
"bombardemen","Nomina","",5
"bombardir","","",6
"bombardom","Nomina","",4
"bombas","Nomina; Sas","",3
"bombastik","","",4
"bombastis","Adjektiva","",6
"bombay","Nomina","",5
"bombe","Nomina","",4
"bomber","Nomina; ki","",6
"bomber","Nomina","",5
"bombo","Nomina; Trj","",1
"bombolini","Nomina","",5
"bomboloni","Nomina","",5
"bombomsai","Nomina; Brk","",1
"bombon","Nomina; Jw","",3
"bombongan","Nomina; Trj","",1
"bombrong","Adjektiva; Skt","",2
"bomi","Nomina; Imb","",1
"bomo","Nomina; Klm","",1
"bomoh","Nomina","",5
"bomor","","",4
"bomor","","",4
"bomseks","Nomina; vul","",5
"bomu","Nomina; Gor","",1
"bonafid","","",5
"bonafid","","",5
"bonafide","Adjektiva","",7
"bonafiditas","Nomina","",4
"bonai","Nomina","",4
"bonam","Adjektiva","",4
"bonang","Nomina","",5
"bonangan","Nomina; Mus","",4
"bonanza","Nomina; Sp","",5
"bonaparte","Nomina","",4
"bonapartis","Nomina; Pol","",4
"bonapartisme","Nomina; Pol","",4
"bonar","Nomina","",3
"bonbin","","",6
"bonbin","","",6
"bonbon","Nomina","",5
"bonca-bonca","Nomina; Bt","",1
"boncel","Adjektiva; Jk","",4
"boncel","Nomina; Sd","",2
"boncel","Nomina; Sd","",2
"bonceng","Verba","",8
"bonceret","Nomina; Sd","",2
"boncol","Nomina","",3
"boncong","Nomina; ark","",2
"boncos","Adjektiva; cak","",6
"bondan","Nomina","",4
"bondek","Verba; Ri","",1
"bondeng","Nomina; Bt","",1
"bondet","Nomina; Jw","",3
"bondo","Nomina; Tlk","",1
"bondo","Nomina; Tlk","",1
"bondol","Nomina","",4
"bondol","Adjektiva","",3
"bondon","Nomina","",4
"bondong","Nomina; Mk","",4
"bondong","Nomina; Bt","",1
"bondong","Nomina; Bt","",1
"bondot","Nomina; Jk","",3
"bondowoso","Nomina","",5
"bondres","Nomina; Bl","",4
"bondul","Nomina; Bt","",1
"bondul","Nomina; Bt","",1
"bondulu","Nomina; Cl","",1
"bone","Nomina","",5
"bone","Nomina; Sng","",1
"bone","Nomina; Bgi","",1
"boneka","Nomina; ki","",8
"bonen","Adjektiva; Gy","",1
"boneraf","Nomina","",4
"bonerate","Nomina","",4
"bonet","Nomina; Sas","",3
"bonet","Nomina","",4
"bonga","Nomina; Ri","",1
"bongak","Adjektiva","",4
"bongak","Adjektiva","",3
"bongak","Adjektiva; Mk","",2
"bongan","Nomina; Dy","",1
"bongar","Adjektiva; Ri","",1
"bongat","Nomina; Taa","",1
"bongbok","Nomina; Sd","",2
"bongei","Adjektiva; Ri","",1
"bongeng","Nomina; Gy","",1
"bonggapeta","Nomina; Tot","",1
"bonggar","Nomina; Bt","",1
"bonggas","Nomina; Bt","",1
"bonggo","Nomina","",4
"bonggo","Nomina; Gor","",1
"bonggo","Nomina; Gor","",1
"bonggol","Nomina","",6
"bonggol","Verba; Jk","",3
"bonggol","Nomina; Jw","",3
"bonggolan","Nomina","",4
"bonggu","Nomina; Lj","",1
"bonggulato","Nomina; Gor","",1
"bonggum","Adjektiva; Bt","",1
"bongkaanatao","Nomina; Wl","",1
"bongkah","Nomina; Geo","",6
"bongkak","","",4
"bongkak","Verba; Mt","",1
"bongkak","","",4
"bongkar","Verba","",8
"bongkar","Nomina; Mg","",1
"bongkar-bangkir","Adjektiva","",4
"bongkas","","",3
"bongkas","","",3
"bongkasak","Nomina; Mks","",1
"bongkat","Nomina; Kpr","",1
"bongkeke","Nomina; Mu","",1
"bongkel","Nomina","",3
"bongki","Mg","",1
"bongkin","Nomina","",3
"bongking","Adjektiva; Ri","",1
"bongko","Nomina; Jw","",4
"bongko","Nomina; Mg","",1
"bongko","Nomina; Jw","",3
"bongko","Nomina; Pm","",1
"bongkohu","Verba; Me","",1
"bongkok","","",5
"bongkok","Nomina; Jw","",3
"bongkok","","",5
"bongkol","","",4
"bongkol","","",4
"bongkol","Nomina; Md","",1
"bongkong","Adjektiva; Mk","",2
"bongkor","Nomina","",3
"bongkor","Nomina; Jw","",2
"bongkot","Nomina; Jk","",4
"bongkot","Verba; Jk","",3
"bongkrek","Nomina","",5
"bongkrek","Nomina; Sd","",2
"bonglai","Nomina","",4
"bongmeh","","",3
"bongo","Nomina","",4
"bongobotu","Verba; Gor","",1
"bongok","Adjektiva","",4
"bongola","Nomina; Gor","",1
"bongolo","Nomina; Gor","",1
"bongolong","Nomina","",2
"bongongo","Nomina; Gor","",1
"bongos","Nomina; Tsg","",1
"bongpai","Nomina","",4
"bongsai","","",4
"bongsai","","",4
"bongsang","Nomina","",4
"bongso","Nomina; Pp","",1
"bongsor","Adjektiva; cak","",7
"boning","Nomina","",4
"bonita","Nomina; Hut","",1
"bonito","Nomina","",4
"bonjol","","",4
"bonjol","","",4
"bonjor","Nomina","",4
"bonjor","Nomina; Bl","",2
"bonjor","Nomina","",3
"bonju","Nomina; Ri; kl","",2
"bonmayo","Nomina; Sw","",1
"bono","Nomina; Ri","",5
"bonobo","Nomina","",5
"bonofo","Nomina; Tb","",1
"bonoi","Nomina","",3
"bonsai","Nomina","",7
"bonsi","Nomina; Bgk","",1
"bonsol","Nomina; Bgi","",1
"bonta","Nomina; Dy","",1
"bontak","Adjektiva; Mk","",3
"bontan","Nomina; Bt","",1
"bontan","Verba; Ri","",1
"bontan","Nomina; Ri","",1
"bontang","Nomina","",5
"bontang","Nomina; Bt","",1
"bontang","Nomina; Dy","",1
"bontang","Verba; Kpr","",1
"bontat","Nomina; Sbw","",1
"bontawe","Nomina; Pm","",1
"bonte","Nomina; Bm","",1
"bontel","Nomina; Ri","",1
"bonteng","Nomina; Sd","",3
"bontet","Adjektiva; Mnd","",2
"bontet","Adjektiva; Plb","",2
"bonto","Nomina; Mks","",1
"bonto","Adjektiva; Jk","",3
"bonto","Nomina; Mu","",1
"bonto","Verba; Bm","",1
"bontok","Adjektiva; Jk","",4
"bontongor","Adjektiva; Sd","",2
"bontos","Nomina; Hut","",1
"bontosan","Nomina; Jw","",3
"bontot","Adjektiva; Jk","",4
"bontot","Nomina","",5
"bontot","Nomina; Sd","",2
"bontot","Nomina; Sd","",2
"bontot","Nomina; Jw","",2
"bontu","Nomina; Bgk","",1
"bontu","Nomina; Ri","",1
"bontula","Nomina; Gor","",1
"bontuyu","Nomina; Kal","",1
"bonus","Nomina","",8
"bonut","Nomina","",4
"bonut","Nomina","",3
"bonyi","Nomina; Dy","",1
"bonyo","Nomina","",3
"bonyok","Adjektiva","",6
"bonyok","Nomina; cak; akr","",5
"bonyok","Nomina; Mks","",1
"bonyor","","",4
"bonyor","","",4
"boodu","Adjektiva; Gor","",1
"boole","Nomina","",4
"boong","","",5
"boong","","",5
"bootes","Nomina; Astron","",4
"bopem","Nomina; Jw","",2
"bopeng","Adjektiva; Verba; ki","",6
"boper","Nomina","",4
"boplang","Nomina; Tek; Jw","",4
"bopok","Adjektiva; cak","",5
"bopong","Verba","",7
"bopong","Adjektiva; Jw","",3
"bopongan","Nomina","",5
"bora","Nomina","",5
"bora","Nomina; Met","",3
"borage","Nomina","",4
"borak","","",5
"borak","","",5
"borak-borak","Nomina; Trj","",1
"boraks","Nomina; Kim","",7
"boran","Nomina; bnd","",1
"borana","Nomina; Kim","",4
"boranan","Nomina","",4
"borang","Nomina; Jk","",3
"borang","Nomina","",6
"boras","Nomina; MKp","",1
"borasit","Nomina; Geo","",3
"boraspati","Nomina; Bt; Bu","",2
"borassus","Nomina","",4
"borat","Nomina; Kim","",4
"borci","Nomina; ark","",2
"bordes","Nomina; Ars","",5
"bordil","Nomina","",6
"bordir","Nomina","",7
"bordu","Nomina; ark","",2
"boreal","Nomina","",5
"boreh","Nomina; cak","",5
"borek","Nomina","",4
"borek","Adjektiva; Gy","",1
"borek","Adjektiva; Kpr","",1
"borek","Nomina","",3
